                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0616,                 1.5615,                 1.5967,                0.64484,                0.70558,                0.75187,                0.60994,                0.80159,                 1.5007,                 1.3891,              0.0006832,              0.0006832,              0.0006832
                     35,                  1.026,                 1.5695,                 1.5807,                0.57916,                0.73604,                0.72116,                0.59378,                0.69964,                 1.3588,                  1.266,              0.0006733,              0.0006733,              0.0006733
                     36,                 1.0106,                 1.5546,                 1.5571,                0.63826,                0.73363,                0.75773,                0.62609,                0.73518,                 1.2012,                 1.3124,              0.0006634,              0.0006634,              0.0006634
                     37,                 1.0108,                 1.5443,                 1.5733,                0.60973,                0.78514,                0.76655,                0.63117,                  0.729,                 1.2515,                 1.3009,              0.0006535,              0.0006535,              0.0006535
                     38,                 1.0018,                 1.4743,                 1.5562,                0.68987,                0.53659,                0.62122,                 0.4682,                 1.0245,                 1.8242,                 1.6177,              0.0006436,              0.0006436,              0.0006436
                     39,                0.96691,                 1.4373,                  1.516,                0.62045,                0.73013,                0.74828,                0.60896,                0.73231,                 1.3048,                 1.3436,              0.0006337,              0.0006337,              0.0006337
                     40,                 1.0012,                 1.4459,                  1.558,                0.73527,                0.75255,                0.78825,                0.66288,                0.65463,                 1.1656,                 1.2292,              0.0006238,              0.0006238,              0.0006238
                     41,                0.98352,                 1.4314,                 1.5322,                0.65327,                0.76475,                0.78886,                0.63626,                0.79404,                 1.1961,                 1.3582,              0.0006139,              0.0006139,              0.0006139
                     42,                0.95377,                  1.428,                 1.5091,                 0.6868,                  0.758,                0.76704,                0.62137,                0.73571,                 1.2604,                 1.3186,               0.000604,               0.000604,               0.000604
                     43,                0.95096,                 1.4069,                 1.5077,                0.65044,                0.74739,                0.78275,                0.64727,                0.69769,                 1.2565,                 1.2779,              0.0005941,              0.0005941,              0.0005941
                     44,                0.94264,                 1.3666,                 1.4874,                0.73003,                0.69509,                0.80491,                0.68291,                 0.6397,                 1.1632,                 1.2327,              0.0005842,              0.0005842,              0.0005842
                     45,                0.94448,                 1.3626,                 1.4718,                0.68622,                0.72343,                0.77671,                0.65915,                0.64258,                 1.1467,                 1.2433,              0.0005743,              0.0005743,              0.0005743
                     46,                0.91515,                 1.3619,                  1.456,                0.68011,                0.71195,                0.75092,                0.61442,                0.76661,                 1.2416,                 1.3085,              0.0005644,              0.0005644,              0.0005644
                     47,                 0.9254,                  1.317,                 1.4783,                0.70392,                0.67779,                0.77079,                0.66151,                0.61362,                 1.4259,                  1.195,              0.0005545,              0.0005545,              0.0005545
                     48,                0.94849,                 1.3112,                 1.4734,                0.60572,                0.77863,                0.79284,                0.67317,                0.61851,                 1.1503,                 1.2001,              0.0005446,              0.0005446,              0.0005446
                     49,                0.93409,                 1.2868,                 1.4633,                 0.6792,                0.78813,                0.81444,                0.66768,                0.77023,                  1.206,                 1.2768,              0.0005347,              0.0005347,              0.0005347
                     50,                0.93517,                 1.2441,                 1.4712,                0.77836,                0.70573,                0.82273,                 0.7035,                0.65242,                 1.0416,                 1.2164,              0.0005248,              0.0005248,              0.0005248
                     51,                0.89042,                 1.2518,                 1.4325,                0.65903,                0.80648,                0.82713,                0.71116,                0.64905,                 1.1831,                 1.1929,              0.0005149,              0.0005149,              0.0005149
                     52,                0.87964,                 1.2436,                  1.425,                0.74159,                0.80886,                0.85173,                0.71905,                0.68959,                0.94342,                 1.2158,               0.000505,               0.000505,               0.000505
                     53,                 0.8552,                 1.1888,                 1.3991,                0.74553,                0.73641,                0.84789,                0.72464,                0.62646,                0.93917,                 1.1813,              0.0004951,              0.0004951,              0.0004951
                     54,                0.87421,                 1.2006,                 1.4176,                 0.6557,                0.79334,                0.79802,                0.68181,                0.60259,                 1.1054,                 1.1757,              0.0004852,              0.0004852,              0.0004852
                     55,                0.86215,                 1.2244,                 1.4132,                0.77855,                0.76165,                 0.8603,                0.72552,                0.65169,                 1.0007,                 1.2323,              0.0004753,              0.0004753,              0.0004753
                     56,                0.82705,                 1.1672,                 1.3816,                0.70866,                0.79674,                0.82874,                0.70159,                0.65207,                0.99725,                  1.191,              0.0004654,              0.0004654,              0.0004654
                     57,                  0.823,                 1.1319,                 1.3739,                0.72905,                0.79628,                0.85199,                0.73138,                0.64297,                0.89465,                  1.184,              0.0004555,              0.0004555,              0.0004555
