                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2276,                 4.6082,                 4.2286,                0.00075,                0.13396,                0.00138,                0.00039,                 3.0424,                 4.8016,                 4.1441,             0.00032479,             0.00032479,             0.00032479
                      2,                 3.0771,                 4.3439,                  3.987,                0.00068,                0.14841,                0.00043,                 0.0001,                  3.248,                 4.7505,                  4.329,              0.0006516,              0.0006516,              0.0006516
                      3,                  2.883,                 4.0972,                 3.6447,                0.00299,                0.53795,                0.00735,                0.00252,                 2.5987,                 4.5679,                 3.3768,             0.00097182,             0.00097182,             0.00097182
                      4,                 2.8177,                 3.9233,                 3.4081,                 0.2099,                0.09752,                0.02285,                0.00579,                 2.4949,                 4.5871,                 3.1753,              0.0009703,              0.0009703,              0.0009703
                      5,                 2.6787,                 3.7603,                 3.2161,                0.32703,                0.14531,                0.03591,                0.01267,                 2.4653,                 6.5764,                 3.1978,              0.0009703,              0.0009703,              0.0009703
                      6,                 2.5195,                 3.5352,                 3.0536,                0.39235,                0.13716,                0.04252,                0.01467,                 2.3338,                 11.275,                 2.9514,              0.0009604,              0.0009604,              0.0009604
                      7,                 2.3311,                 3.4752,                  2.884,                0.11182,                0.24767,                0.08328,                0.02745,                 2.2804,                 7.7074,                 2.9198,              0.0009505,              0.0009505,              0.0009505
                      8,                 2.2054,                 3.2537,                 2.7305,                0.20753,                0.20566,                0.13425,                0.05855,                 2.0467,                 3.6732,                  2.677,              0.0009406,              0.0009406,              0.0009406
                      9,                 2.0424,                 3.0936,                 2.6004,                0.17701,                0.30151,                0.18839,                0.10361,                 1.6948,                 3.0612,                 2.3494,              0.0009307,              0.0009307,              0.0009307
                     10,                 1.8998,                 2.9748,                 2.4672,                0.25655,                0.33804,                0.19165,                0.10294,                 1.7237,                 3.2405,                 2.3709,              0.0009208,              0.0009208,              0.0009208
                     11,                 1.8102,                 2.8481,                 2.3724,                0.29315,                0.40785,                0.28793,                0.16486,                 1.5119,                 2.6822,                 2.1125,              0.0009109,              0.0009109,              0.0009109
                     12,                 1.7521,                 2.7208,                  2.315,                0.31037,                0.47868,                 0.2964,                0.17632,                 1.4215,                 2.8423,                 2.0122,               0.000901,               0.000901,               0.000901
                     13,                 1.6849,                 2.6657,                 2.2406,                0.30964,                0.42637,                 0.3716,                0.23072,                 1.3914,                 2.4927,                 2.0287,              0.0008911,              0.0008911,              0.0008911
                     14,                  1.635,                  2.537,                  2.192,                0.31692,                0.50064,                0.34325,                0.19253,                 1.4644,                  2.566,                 2.0718,              0.0008812,              0.0008812,              0.0008812
                     15,                  1.503,                 2.4186,                 2.0888,                0.36465,                0.53573,                0.41229,                0.25777,                 1.3578,                 2.2453,                 1.9443,              0.0008713,              0.0008713,              0.0008713
                     16,                 1.5267,                 2.3728,                 2.0634,                0.40162,                0.49078,                0.41493,                0.26743,                 1.2632,                  2.251,                 1.8383,              0.0008614,              0.0008614,              0.0008614
                     17,                 1.5063,                 2.3796,                 2.0505,                0.36031,                0.52114,                 0.4214,                0.29549,                 1.1551,                 2.0767,                 1.7997,              0.0008515,              0.0008515,              0.0008515
                     18,                 1.4651,                 2.3412,                 2.0052,                0.40137,                0.50566,                0.46147,                0.29376,                  1.223,                 2.0908,                 1.7923,              0.0008416,              0.0008416,              0.0008416
                     19,                 1.3945,                 2.2598,                 1.9619,                0.45887,                0.48509,                0.47472,                0.31875,                 1.1802,                 2.0633,                  1.808,              0.0008317,              0.0008317,              0.0008317
                     20,                 1.4121,                  2.161,                  1.948,                0.33156,                0.61199,                    0.5,                 0.3449,                 1.1092,                  2.052,                 1.6818,              0.0008218,              0.0008218,              0.0008218
