                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2203,                 4.6336,                 4.2662,                0.00072,                0.13193,                0.00131,                0.00033,                 2.9646,                  4.803,                  4.141,                 0.0003,                 0.0003,                 0.0003
                      2,                 3.0964,                  4.406,                 4.0629,                 0.0005,                0.13696,                0.00053,                0.00018,                 2.8618,                 4.7276,                 4.0332,             0.00060698,             0.00060698,             0.00060698
                      3,                 2.9472,                 4.2056,                 3.7696,                0.00247,                0.43498,                0.01369,                0.00291,                 2.7478,                 4.5719,                 3.6971,             0.00091089,             0.00091089,             0.00091089
                      4,                 2.9326,                 4.0663,                  3.565,                0.00489,                0.17817,                0.02936,                0.00796,                 2.6125,                 78.265,                 3.3563,             0.00098515,             0.00098515,             0.00098515
                      5,                 2.8946,                 3.9222,                 3.3815,                 0.1733,                0.16727,                0.00815,                0.00273,                  2.725,                 131.53,                  3.827,             0.00098515,             0.00098515,             0.00098515
                      6,                 2.8173,                 3.8037,                 3.2317,                0.36427,                0.12487,                0.02452,                0.00681,                 2.5606,                 13.716,                 3.1858,              0.0009802,              0.0009802,              0.0009802
                      7,                 2.6842,                 3.6422,                   3.11,                0.19114,                0.08382,                0.02516,                 0.0079,                 2.6314,                 25.124,                 3.2724,             0.00097525,             0.00097525,             0.00097525
                      8,                 2.5676,                 3.5573,                 2.9829,                 0.2011,                0.22652,                0.04537,                0.01428,                 2.3351,                 9.5698,                 2.7976,              0.0009703,              0.0009703,              0.0009703
                      9,                 2.3698,                   3.48,                 2.8418,                0.23435,                0.10553,                0.06133,                0.02063,                 2.5385,                 4.0346,                 3.0123,             0.00096535,             0.00096535,             0.00096535
                     10,                 2.2199,                 3.2756,                 2.7489,                0.15802,                0.14529,                0.11883,                0.04859,                 2.0149,                 3.4756,                 2.6194,              0.0009604,              0.0009604,              0.0009604
                     11,                 2.1178,                 3.2372,                 2.6267,                0.19274,                0.28903,                0.14623,                 0.0658,                 1.9775,                 3.4269,                 2.5688,             0.00095545,             0.00095545,             0.00095545
                     12,                 2.0494,                 3.0919,                 2.5728,                 0.1443,                0.18443,                0.16346,                0.07221,                 1.9201,                 3.3685,                 2.6382,              0.0009505,              0.0009505,              0.0009505
                     13,                 1.8981,                  2.947,                  2.415,                0.20801,                0.18892,                0.16464,                0.06859,                 1.8876,                 3.4048,                 2.5184,             0.00094555,             0.00094555,             0.00094555
                     14,                 1.8503,                 2.8167,                 2.3605,                0.22858,                0.20057,                0.16266,                0.07079,                 1.9997,                 3.3944,                 2.5504,              0.0009406,              0.0009406,              0.0009406
                     15,                 1.8196,                 2.8018,                 2.3389,                0.29713,                 0.2406,                0.21238,                0.09855,                 1.8344,                 3.1321,                 2.4912,             0.00093565,             0.00093565,             0.00093565
                     16,                 1.7453,                 2.7307,                 2.2689,                0.25996,                0.26745,                0.17617,                0.07738,                 1.6552,                  3.022,                 2.2814,              0.0009307,              0.0009307,              0.0009307
                     17,                 1.6947,                 2.6536,                 2.1954,                0.31354,                0.40234,                0.33539,                0.18696,                 1.5172,                 2.6542,                 2.1972,             0.00092575,             0.00092575,             0.00092575
                     18,                 1.6538,                 2.5904,                 2.1818,                0.39589,                0.37943,                0.34543,                0.20261,                  1.538,                 2.6597,                 2.2174,              0.0009208,              0.0009208,              0.0009208
                     19,                 1.6189,                  2.512,                   2.14,                0.36007,                0.45563,                0.33252,                0.19201,                 1.4265,                 2.5958,                 1.9721,             0.00091585,             0.00091585,             0.00091585
                     20,                 1.5775,                 2.5315,                 2.0811,                0.37387,                0.41721,                0.38901,                0.22155,                 1.4133,                 2.3524,                 2.0215,              0.0009109,              0.0009109,              0.0009109
                     21,                 1.5365,                 2.4646,                 2.0352,                0.40882,                0.40034,                0.38255,                0.23422,                   1.34,                 2.4272,                  2.014,             0.00090595,             0.00090595,             0.00090595
                     22,                  1.494,                  2.374,                 1.9969,                0.23781,                0.51587,                0.41584,                0.26436,                 1.2471,                  2.516,                 1.8659,               0.000901,               0.000901,               0.000901
