                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1918,                 4.5495,                 4.2504,                0.00159,                 0.2889,                 0.0025,                0.00059,                 3.1356,                 4.8524,                 4.1361,             0.00032381,             0.00032381,             0.00032381
                      2,                 3.0429,                 4.3291,                 4.0212,                0.00102,                0.26886,                0.00197,                0.00058,                 3.1086,                 4.7441,                 4.0896,             0.00065281,             0.00065281,             0.00065281
                      3,                 2.9034,                 4.0462,                 3.6743,                0.50843,                0.02561,                0.00893,                0.00367,                 2.4998,                 8.2566,                 3.0943,              0.0009774,              0.0009774,              0.0009774
                      4,                 2.7775,                 3.8535,                 3.3823,                0.42139,                0.05035,                0.02363,                0.00704,                  2.511,                 7.0435,                 3.0281,              0.0009802,              0.0009802,              0.0009802
                      5,                 2.6989,                  3.703,                 3.1991,                0.54745,                0.15846,                0.04421,                0.01449,                 2.3942,                 7.1707,                 2.8908,              0.0009802,              0.0009802,              0.0009802
                      6,                 2.5423,                 3.5431,                 3.0944,                0.37744,                0.13126,                0.09201,                0.03874,                 2.2129,                 6.2956,                 2.9407,              0.0009736,              0.0009736,              0.0009736
                      7,                 2.3138,                 3.4039,                 2.8831,                0.19612,                0.07102,                0.03661,                0.01518,                 2.2426,                 6.5671,                 2.8988,               0.000967,               0.000967,               0.000967
                      8,                  2.218,                 3.2348,                 2.7483,                0.33803,                0.25085,                 0.1587,                0.08375,                 1.9788,                 3.5407,                 2.5593,              0.0009604,              0.0009604,              0.0009604
                      9,                 2.1159,                 3.0545,                 2.6305,                0.32298,                0.25149,                0.20944,                0.09904,                 1.9366,                 3.3377,                 2.5037,              0.0009538,              0.0009538,              0.0009538
                     10,                 1.8899,                  2.958,                 2.4862,                0.19549,                0.34276,                0.21148,                0.10554,                 1.8545,                 3.1224,                 2.4473,              0.0009472,              0.0009472,              0.0009472
                     11,                 1.7975,                 2.8219,                 2.3732,                0.32269,                0.48218,                0.37953,                0.23887,                 1.4388,                 2.5964,                 2.0539,              0.0009406,              0.0009406,              0.0009406
                     12,                 1.7144,                 2.7052,                 2.2801,                0.29487,                0.55184,                0.33069,                 0.1792,                 1.5731,                 3.0387,                 2.0895,               0.000934,               0.000934,               0.000934
                     13,                 1.6345,                 2.5293,                 2.1815,                0.29902,                0.45292,                0.35982,                0.22323,                 1.3897,                 2.5199,                 1.9573,              0.0009274,              0.0009274,              0.0009274
                     14,                 1.5939,                 2.4765,                 2.1255,                  0.482,                0.40627,                0.41761,                0.28091,                 1.2726,                 2.5274,                 1.8775,              0.0009208,              0.0009208,              0.0009208
                     15,                 1.5242,                 2.3727,                  2.069,                0.29745,                0.49616,                0.40418,                0.26006,                  1.342,                 2.4095,                 1.9441,              0.0009142,              0.0009142,              0.0009142
                     16,                 1.4828,                 2.3623,                 2.0181,                0.42359,                0.52791,                0.47281,                0.30704,                 1.2167,                 2.3682,                  1.773,              0.0009076,              0.0009076,              0.0009076
                     17,                 1.4186,                 2.2046,                 1.9757,                0.49751,                0.57547,                0.48688,                0.33924,                 1.1274,                 2.2664,                 1.6968,               0.000901,               0.000901,               0.000901
                     18,                 1.3864,                  2.189,                 1.9502,                0.39631,                0.55637,                0.52304,                0.37254,                 1.1197,                 2.3083,                  1.671,              0.0008944,              0.0008944,              0.0008944
                     19,                 1.3814,                 2.1516,                 1.9189,                0.41514,                0.62595,                0.53688,                0.39479,                 1.0023,                 2.0007,                 1.6078,              0.0008878,              0.0008878,              0.0008878
                     20,                 1.2939,                 2.0531,                 1.8274,                0.42584,                0.67524,                0.54638,                0.39636,                0.95355,                 1.9272,                 1.5282,              0.0008812,              0.0008812,              0.0008812
                     21,                 1.2348,                 1.9861,                 1.7686,                0.42378,                0.62971,                0.50811,                0.37385,                 1.0584,                 2.0451,                 1.6407,              0.0008746,              0.0008746,              0.0008746
                     22,                 1.2662,                 1.9725,                 1.7953,                0.57511,                0.53367,                0.54773,                0.40539,                0.98225,                 2.0479,                 1.5547,               0.000868,               0.000868,               0.000868
                     23,                 1.2133,                 1.8876,                 1.7589,                0.42723,                0.60699,                0.59534,                0.45886,                0.90604,                 1.8011,                 1.4785,              0.0008614,              0.0008614,              0.0008614
                     24,                 1.2045,                 1.8804,                 1.7421,                0.48193,                 0.6184,                0.60246,                0.45494,                 1.0153,                 1.7767,                 1.5629,              0.0008548,              0.0008548,              0.0008548
