                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2203,                 4.6336,                 4.2662,                0.00072,                0.13193,                0.00131,                0.00033,                 2.9646,                  4.803,                  4.141,                 0.0003,                 0.0003,                 0.0003
                      2,                 3.0951,                 4.4097,                 4.0632,                0.00053,                0.14411,                 0.0007,                0.00023,                 2.8541,                 4.7256,                 4.0285,             0.00060396,             0.00060396,             0.00060396
                      3,                 2.9398,                 4.2149,                 3.7717,                 0.0023,                0.41633,                0.01567,                0.00383,                 2.7494,                 4.5547,                 3.7895,             0.00090178,             0.00090178,             0.00090178
                      4,                 2.9362,                 4.0094,                 3.5411,                0.36422,                 0.0773,                0.00438,                0.00119,                 2.6502,                 15.925,                 3.4617,              0.0009703,              0.0009703,              0.0009703
                      5,                 2.8728,                 3.8995,                 3.3674,                0.01468,                0.38651,                0.01432,                0.00453,                 2.7341,                 17.193,                 3.4337,              0.0009703,              0.0009703,              0.0009703
                      6,                 2.7478,                 3.7717,                 3.2154,                0.10616,                0.23915,                 0.0683,                0.01878,                 2.4662,                 5.2872,                 3.0164,              0.0009604,              0.0009604,              0.0009604
                      7,                 2.6236,                 3.5693,                 3.0869,                0.23383,                 0.2236,                0.04306,                0.01204,                 2.5886,                 13.614,                 3.0932,              0.0009505,              0.0009505,              0.0009505
                      8,                 2.5449,                 3.4743,                 2.9743,                0.20848,                0.27273,                0.07359,                0.02489,                 2.2444,                 5.0327,                 2.7892,              0.0009406,              0.0009406,              0.0009406
                      9,                 2.3806,                 3.4356,                 2.8755,                0.27817,                0.17196,                0.12298,                 0.0479,                 2.1322,                  3.799,                 2.9098,              0.0009307,              0.0009307,              0.0009307
                     10,                 2.2336,                 3.2494,                 2.7863,                0.28579,                0.16578,                0.11133,                0.05122,                 2.0651,                 3.6487,                 2.8135,              0.0009208,              0.0009208,              0.0009208
